Observer,Station,AvThreshold,SDThreshold,AvThresholdS,SDThresholdS,mreSth,mneSth,KSth,mreMth,mneMth,KMth,R2d,Mean.Res,Mean.Rel.Res,R2Md,Mean.ResM,Mean.Rel.ResM,R2dSI,Mean.Res.SI,Mean.Rel.Res.SI,R2MdSI,Mean.ResM.SI,Mean.Rel.ResM.SI,R2dDifT,Mean.ResDifT,Mean.Rel.ResDifT,R2MdDifT,Mean.ResMDifT,Mean.Rel.ResMDifT,R2dVI,Mean.ResVI,Mean.Rel.ResVI,R2MdVI,Mean.ResMVI,Mean.Rel.ResMVI,QDays,ADays,NADays,QAFrac,ObsPerMonth,RiseCount,DecCount,InvCount,RiseMonths,DecMonths,InvMonths,InvMoStreak,ObsStartDate,ObsTotLength
412,Moye,42.0,nan,[26. 87. 44. 23.],[nan nan nan nan],0.13,0.2,1.13,0.08,0.12,1.08,0.7832485426774777,0.34100021101498207,0.19230585781180112,0.9446858591345283,0.5769230769230769,0.09224537037037038,"[0.5643393477529979, 0.811532718851202, 0.7620754977533382, 0.7136415995404626]","[0.10186757215619695, -0.07026259758694109, 0.3196099674972914, 0.4988814317673378]","[0.13431372549019607, -0.050878440025528895, 0.16141733110627882, 0.3184696620583717]","[1.0, 0.9351166761525327, 0.9684466019417476, 0.6234375]","[0.0, -0.08333333333333333, 0.11538461538461539, 1.8333333333333333]","[0.0, -0.011965433556342647, 0.012863756613756614, 0.36287202380952377]",0.782232858706082,0.2104263402279443,0.1263341824164995,0.9882953181272509,0.038461538461538464,0.0015211640211640215,0.7880403145283681,0.2371364653243848,0.1242799539170507,0.7548936170212767,1.2222222222222223,0.2246279761904762,1462,3282,735,0.445,12.997,2,2,0,175,185,1,1,697613,5478
321,Meyer,61.0,nan,[ 0. 17.  0.],[nan nan  0.],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[[], [], []]","[[], [], []]","[[], [], []]","[[], [], []]","[[], [], []]","[[], [], []]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86,826,1838,0.104,4.984,1,2,1,41,36,92,26,680611,2749
318,Spoerer,9.0,nan,[ 4. 38.  8.  0. 13. 19.  0.],[nan nan nan  0. nan nan  0.],0.19,0.32,1.19,0.1,0.25,1.1,0.5969686690940821,0.758130081300813,0.3732385062853813,0.9397181628392485,0.8571428571428571,0.1372172699095776,"[[], [], 0.5108237313678621, [], 0.6259937267537667, 0.6535203286910363, []]","[[], [], -0.16460176991150444, [], 0.7426778242677824, 0.7599067599067599, []]","[[], [], -0.09857357357357358, [], 0.4658195970695971, 0.349554044730155, []]","[[], [], 0.36363636363636365, [], 0.8712055507372073, 0.9493156732891832, []]","[[], [], -0.5714285714285714, [], 1.0454545454545454, 0.4642857142857143, []]","[[], [], -0.125, [], 0.22248015873015872, 0.1410913872452334, []]",0.6746056376826155,0.5334174022698613,0.2869089266897486,0.9662487945998072,0.35714285714285715,0.07923241288625903,0.5881389160724912,1.2692307692307692,0.5372000255997194,0.874583142614268,1.3928571428571428,0.2661411238334315,775,5506,5771,0.141,7.822,3,4,2,174,370,146,11,679353,12051
321,Meyer,61.0,nan,[ 0. 17.  0.],[nan nan  0.],nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[[], [], []]","[[], [], []]","[[], [], []]","[[], [], []]","[[], [], []]","[[], [], []]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86,826,1838,0.104,4.984,1,2,1,41,36,92,26,680611,2749
323,Ferrari,32.0,nan,[ 0.  0. 29. 32.],[ 0.  0. nan nan],-0.38,-0.36,0.62,-0.37,-0.35,0.63,0.28085654803212046,-0.14392059553349876,-0.34096692111959287,-1.736842105263158,-0.625,-0.3333333333333333,"[[], [], 0.27877237851662395, 0.36643495531281023]","[[], [], -0.14184397163120568, -0.13793103448275862]","[[], [], -0.4, -0.304029304029304]","[[], [], -0.4999999999999998, -1.736842105263158]","[[], [], -0.3333333333333333, -0.625]","[[], [], -0.25, -0.3333333333333333]",0.33971014492753626,-0.13930348258706468,-0.3333333333333333,-1.736842105263158,-0.625,-0.3333333333333333,0.36643495531281023,-0.13793103448275862,-0.304029304029304,-1.736842105263158,-0.625,-0.3333333333333333,296,182,4635,1.626,1.406,2,2,2,27,15,290,289,681178,5112
324,Leppig,55.0,nan,[38. 80. 33.],[nan nan nan],-0.24,-0.23,0.76,-0.26,-0.2,0.74,0.5904917222710844,-0.30424710424710427,-0.2261842838565855,0.3076923076923077,-1.1111111111111112,-0.22738095238095238,"[[], 0.36718046726771636, 0.7376138612715425]","[[], -0.3093622795115332, -0.20287253141831238]","[[], -0.3058252427184466, -0.10869114499732477]","[[], -0.806451612903226, 0.732315112540193]","[[], -1.1428571428571428, -0.7222222222222222]","[[], -0.33055555555555555, -0.13623511904761904]",0.6682646376921292,-0.2635239567233385,-0.21444537450396828,0.60659509202454,-1.0555555555555556,-0.26123511904761904,0.6103138072909484,-0.3859964093357271,-0.21920144462279292,0.5,-1.0,-0.20654761904761904,677,1934,2638,0.35,7.481,2,1,0,128,156,67,3,681773,5248
325,Dawson,41.0,nan,[29.  0. 22. 47.  5.],[nan  0. nan nan nan],-0.25,-0.23,0.75,-0.16,-0.18,0.84,0.5664450460267193,-0.6038687973086627,-0.23634708428826076,0.42508710801393734,-1.2727272727272727,-0.2119047619047619,"[[], [], 0.7052139342407264, 0.384239623731331, 0.6076030927835052]","[[], [], -0.43582089552238806, -0.6616161616161617, 0.022988505747126436]","[[], [], -0.17219288208197636, -0.19324722334637348, -0.12903225806451613]","[[], [], 0.9006024096385542, -0.4587813620071681, 1.0]","[[], [], -0.6363636363636364, -1.6363636363636365, 0.0]","[[], [], -0.11900793650793648, -0.25996031746031745, 0.0]",0.6360015447823532,-0.4787510841283608,-0.17878120978120976,0.6918767507002801,-1.0909090909090908,-0.1907936507936508,-0.025102459016393297,-0.19540229885057472,-0.46774193548387094,-0.4999999999999998,-0.3333333333333333,-0.25,312,1311,6798,0.238,2.893,3,2,1,104,41,408,188,681629,8420
327,Bernaerts,40.0,nan,[ 0. 40.  9.],[ 0. nan nan],-0.43,-0.42,0.57,-0.4,-0.41,0.6,-0.1352367754455468,-0.5278195488721804,-0.3923809523809524,-1.8285714285714283,-1.7777777777777777,-0.3952380952380953,"[[], -0.2407688624392912, 0.4343516083350192]","[[], -0.6131386861313869, -0.08583690987124463]","[[], -0.38816793893129775, -0.3148148148148148]","[[], -1.8285714285714283, 0.7857142857142857]","[[], -1.7777777777777777, -0.16666666666666666]","[[], -0.3952380952380953, -0.125]",-0.1228123393960665,-0.5206922498118887,-0.383452380952381,-1.8285714285714283,-1.7777777777777777,-0.3952380952380953,-0.30410447761194037,-0.12875536480686695,-0.4537037037037037,-0.4999999999999998,-0.3333333333333333,-0.25,591,1468,1435,0.403,8.875,2,1,1,21,136,57,49,682645,3493
328,Tacchini,36.0,nan,[24. 87. 83.  9. 17.],[nan nan nan nan nan],-0.25,-0.21,0.75,-0.22,-0.17,0.78,0.6635302899516565,-0.6114012184508268,-0.20801704017151168,0.2471910112359551,-2.0,-0.22520664520664518,"[-0.6924809548801629, -0.6626372782641514, 0.11638605799537716, 0.8516163063156448, 0.843351901186728]","[-0.7830609212481426, -1.5861788617886179, -0.9422360248447205, 0.39584934665641813, 0.029822029822029823]","[-0.42558230782949885, -0.4289713297226958, -0.3652811235663667, 0.12135683680789247, 0.018459026101513152]","[-2.3176, -2.023575638506876, -3.62322695035461, 0.9788161993769471, 0.9351011863224006]","[-2.409090909090909, -3.3333333333333335, -3.3, 0.375, -0.4]","[-0.44841269841269843, -0.496666230594802, -0.41363378684807256, 0.034473304473304475, -0.03426295926295926]",0.6471992761374266,-0.4958653706658929,-0.17072511248663008,0.5556682728886635,-1.5625,-0.18609048359048358,0.7299486473157344,-0.46320346320346323,-0.1697070808037993,0.7606239913932222,-1.2666666666666666,-0.1539783629069343,1437,6147,3320,0.234,10.446,2,3,0,214,437,73,11,683056,10903
329,Secchi,46.0,nan,[46.],[nan],-0.35,-0.35,0.65,-0.35,-0.35,0.65,-0.004572336866472737,-0.5589459084604715,-0.3342297886339337,-0.02564102564102555,-1.25,-0.3312925170068027,[-0.006060292857838601],[-0.5597222222222222],[-0.3342297886339337],[-0.02564102564102555],[-1.25],[-0.3312925170068027],-0.006060292857838601,-0.5597222222222222,-0.3342297886339337,-0.02564102564102555,-1.25,-0.3312925170068027,-0.006060292857838601,-0.5597222222222222,-0.3342297886339337,-0.02564102564102555,-1.25,-0.3312925170068027,208,1322,1021,0.157,9.0,0,1,0,0,140,29,23,683008,2550
